Date : 2023-10-14 15:16:44
Directory : /Users/wangweixu/github/GetXStudy_Flutter_Project
Total : 157 files,  7201 codes, 526 comments, 1156 blanks, all 8883 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/android/app/src/main/res/values/styles.xml                    | XML             |          9 |          9 |          1 |         19 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/android/app/src/profile/AndroidManifest.xml                   | XML             |          4 |          4 |          1 |          9 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/android/build.gradle                                          | Groovy          |         29 |          4 |          5 |         38 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/android/gradle.properties                                     | Java Properties |          3 |          0 |          1 |          4 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/android/gradle/wrapper/gradle-wrapper.properties              | Java Properties |          5 |          1 |          1 |          7 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/android/settings.gradle                                       | Groovy          |          8 |          0 |          4 |         12 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/assets/html/index.html                                        | HTML            |         76 |          0 |         17 |         93 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/ios/Runner/AppDelegate.swift                                  | Swift           |         12 |          0 |          2 |         14 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json   | JSON            |        122 |          0 |          0 |        122 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json | JSON            |         23 |          0 |          1 |         24 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md     | Markdown        |          3 |          0 |          2 |          5 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/ios/Runner/Base.lproj/LaunchScreen.storyboard                 | XML             |         36 |          1 |          1 |         38 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/ios/Runner/Base.lproj/Main.storyboard                         | XML             |         25 |          1 |          1 |         27 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/ios/Runner/Runner-Bridging-Header.h                           | C++             |          1 |          0 |          1 |          2 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/account_manager/account_binding.dart                      | Dart            |         18 |          3 |          5 |         26 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/account_manager/account_controller.dart                   | Dart            |          3 |          1 |          2 |          6 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/account_manager/account_manager.dart                      | Dart            |         86 |          9 |         32 |        127 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/base/base_controller.dart                                 | Dart            |         20 |          7 |          6 |         33 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/base/base_refresh_controller.dart                         | Dart            |         79 |          0 |         23 |        102 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/base/base_request_controller.dart                         | Dart            |         25 |          0 |          9 |         34 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/base/box.dart                                             | Dart            |          7 |          0 |          2 |          9 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/base/get_bind_widget.dart                                 | Dart            |         75 |         58 |         21 |        154 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/base/getx_router_observer.dart                            | Dart            |         12 |          0 |          3 |         15 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/base/interface.dart                                       | Dart            |         15 |         19 |         10 |         44 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/base/reload_data_mixin.dart                               | Dart            |          6 |          0 |          2 |          8 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/base/resign_first_responder.dart                          | Dart            |         10 |          2 |          4 |         16 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/base/resign_first_view.dart                               | Dart            |         15 |          0 |          5 |         20 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/entity/account_info_entity.dart                           | Dart            |         25 |          0 |          6 |         31 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/entity/article_info_entity.dart                           | Dart            |         82 |          0 |         16 |         98 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/entity/banner_entity.dart                                 | Dart            |         29 |          0 |          6 |         35 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/entity/base_entity.dart                                   | Dart            |         49 |          0 |          8 |         57 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/entity/coin_rank_entity.dart                              | Dart            |         35 |          0 |         12 |         47 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/entity/hot_key_entity.dart                                | Dart            |         18 |          0 |          6 |         24 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/entity/i_entity.dart                                      | Dart            |         12 |          1 |          1 |         14 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/entity/json_convert_extension.dart                        | Dart            |         12 |          1 |          2 |         15 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/entity/my_coin_entity.dart                                | Dart            |         27 |          1 |          7 |         35 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/entity/my_coin_history_entity.dart                        | Dart            |         38 |          0 |         12 |         50 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/entity/page_entity.dart                                   | Dart            |         22 |          1 |          3 |         26 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/entity/pageable.dart                                      | Dart            |          8 |          9 |          1 |         18 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/entity/tab_entity.dart                                    | Dart            |         21 |          0 |          6 |         27 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/enum/collect_action_type.dart                             | Dart            |          4 |          0 |          1 |          5 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/enum/main_tag_type.dart                                   | Dart            |         61 |          0 |          7 |         68 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/enum/my.dart                                              | Dart            |        112 |          0 |          9 |        121 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/enum/response_status.dart                                 | Dart            |         36 |          2 |         12 |         50 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/enum/scroll_view_action_type.dart                         | Dart            |          1 |          1 |          0 |          2 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/enum/tag_type.dart                                        | Dart            |         48 |          0 |          6 |         54 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/example_app/example_routes.dart                           | Dart            |         19 |          1 |          5 |         25 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/example_app/get_x_app.dart                                | Dart            |        124 |          0 |         15 |        139 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/example_app/h5_js_channel_app.dart                        | Dart            |        127 |          3 |         17 |        147 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/example_app/rx_dart_app.dart                              | Dart            |         73 |          2 |         18 |         93 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/example_app/state_mixin_example_controller.dart           | Dart            |         81 |          2 |         11 |         94 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/example_app/stream_app.dart                               | Dart            |         59 |          1 |         11 |         71 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/extension/string_extension.dart                           | Dart            |         29 |          1 |          0 |         30 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/extension/theme_data_extension.dart                       | Dart            |         34 |         29 |         11 |         74 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/generated/json/account_info_entity.g.dart                 | Dart            |         70 |          0 |          2 |         72 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/generated/json/article_info_entity.g.dart                 | Dart            |        230 |          0 |          6 |        236 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/generated/json/banner_entity.g.dart                       | Dart            |         52 |          0 |          3 |         55 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/generated/json/base/json_convert_content.dart             | Dart            |        144 |          5 |         11 |        160 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/generated/json/base/json_field.dart                       | Dart            |          9 |          7 |          7 |         23 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/generated/json/coin_rank_entity.g.dart                    | Dart            |         78 |          0 |          4 |         82 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/generated/json/hot_key_entity.g.dart                      | Dart            |         35 |          0 |          2 |         37 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/generated/json/my_coin_entity.g.dart                      | Dart            |         40 |          0 |          2 |         42 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/generated/json/my_coin_history_entity.g.dart              | Dart            |         93 |          0 |          4 |         97 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/generated/json/tab_entity.g.dart                          | Dart            |         50 |          0 |          2 |         52 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/http_util/api.dart                                        | Dart            |         24 |         22 |         22 |         68 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/http_util/http_status.dart                                | Dart            |         86 |          2 |         13 |        101 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/http_util/http_util.dart                                  | Dart            |         90 |          6 |         18 |        114 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/http_util/network_activity_plugin.dart                    | Dart            |         27 |          1 |          9 |         37 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/http_util/plugins.dart                                    | Dart            |         70 |         11 |         11 |         92 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/http_util/request.dart                                    | Dart            |         19 |          2 |          5 |         26 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/http_util/request_client.dart                             | Dart            |         35 |          5 |         11 |         51 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/http_util/request_client.g.dart                           | Dart            |        116 |          5 |         15 |        136 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/logger/class_name.dart                                    | Dart            |          2 |          0 |          2 |          4 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/logger/logger.dart                                        | Dart            |          7 |          0 |          2 |          9 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/main.dart                                                 | Dart            |         25 |         10 |         13 |         48 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/my_app.dart                                               | Dart            |         39 |          5 |         10 |         54 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/coin_rank/bindings/coin_rank_binding.dart           | Dart            |         24 |          1 |          3 |         28 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/coin_rank/controller/coin_rank_controller.dart      | Dart            |         49 |          1 |         11 |         61 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/coin_rank/repository/coin_rank_repository.dart      | Dart            |         11 |          0 |          2 |         13 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/coin_rank/view/coin_rank_page.dart                  | Dart            |         44 |          0 |          5 |         49 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/common/countdown_circle.dart                        | Dart            |         86 |          8 |         16 |        110 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/common/empty_view.dart                              | Dart            |         29 |          0 |          4 |         33 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/common/error_view.dart                              | Dart            |         47 |          0 |          4 |         51 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/common/info_cell.dart                               | Dart            |        120 |          0 |         10 |        130 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/common/keep_alive_wrapper.dart                      | Dart            |         29 |         15 |          6 |         50 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/common/loading_view.dart                            | Dart            |         25 |          0 |          4 |         29 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/common/marquee_label.dart                           | Dart            |         97 |          4 |         14 |        115 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/common/my_list_view.dart                            | Dart            |         50 |          4 |          5 |         59 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/common/refresh_header_footer.dart                   | Dart            |         40 |          0 |          7 |         47 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/common/status_view.dart                             | Dart            |         51 |          6 |          9 |         66 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/common/unknown_page.dart                            | Dart            |         18 |          0 |          3 |         21 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/home/binding/home_binding.dart                      | Dart            |         24 |          2 |          4 |         30 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/home/binding/hot_key_binding.dart                   | Dart            |         14 |          0 |          2 |         16 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/home/binding/search_result_binding.dart             | Dart            |         24 |          0 |          3 |         27 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/home/controller/home_controller.dart                | Dart            |         79 |          2 |         18 |         99 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/home/controller/hot_key_controller.dart             | Dart            |         23 |          0 |          3 |         26 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/home/controller/search_result_controller.dart       | Dart            |         50 |          0 |         11 |         61 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/home/repository/home_repository.dart                | Dart            |         17 |         13 |          4 |         34 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/home/repository/hot_key_repository.dart             | Dart            |          9 |          0 |          2 |         11 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/home/repository/search_result_repository.dart       | Dart            |         15 |          0 |          2 |         17 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/home/view/home_page.dart                            | Dart            |        163 |          2 |          6 |        171 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/home/view/hot_key_page.dart                         | Dart            |         65 |          0 |          5 |         70 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/home/view/search_result_page.dart                   | Dart            |         43 |          0 |          5 |         48 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/home/view/search_text_field.dart                    | Dart            |        122 |          7 |         13 |        142 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/launch/splash_page.dart                             | Dart            |         30 |          2 |          7 |         39 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/launch/welcome_page.dart                            | Dart            |         60 |          2 |          6 |         68 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/main/bindings/main_binding.dart                     | Dart            |         10 |          0 |          2 |         12 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/main/controller/main_controller.dart                | Dart            |         15 |          2 |          5 |         22 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/main/view/main_page.dart                            | Dart            |         32 |          0 |          4 |         36 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/binding/login_binding.dart                       | Dart            |         11 |          0 |          1 |         12 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/binding/my_binding.dart                          | Dart            |         15 |          0 |          3 |         18 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/binding/my_coin_history_binding.dart             | Dart            |         24 |          1 |          3 |         28 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/binding/my_collect_binding.dart                  | Dart            |         24 |          0 |          2 |         26 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/binding/register_binding.dart                    | Dart            |         10 |          0 |          2 |         12 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/controller/get_user_info_mixin.dart              | Dart            |         16 |          0 |          3 |         19 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/controller/login_controller.dart                 | Dart            |         53 |          8 |         12 |         73 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/controller/my_coin_history_controller.dart       | Dart            |         49 |          0 |         10 |         59 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/controller/my_collect_controller.dart            | Dart            |         80 |          0 |         16 |         96 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/controller/my_controller.dart                    | Dart            |         58 |          4 |         12 |         74 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/controller/register_controller.dart              | Dart            |         54 |          0 |         11 |         65 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/repository/my_coin_history_repository.dart       | Dart            |         11 |          0 |          1 |         12 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/repository/my_collect_repository.dart            | Dart            |         15 |          0 |          3 |         18 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/repository/my_repository.dart                    | Dart            |         27 |          0 |          6 |         33 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/view/login_page.dart                             | Dart            |        141 |          1 |          5 |        147 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/view/my_coin_history_page.dart                   | Dart            |         44 |          0 |          5 |         49 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/view/my_collect_page.dart                        | Dart            |         64 |          4 |          5 |         73 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/view/my_page.dart                                | Dart            |        108 |          0 |          5 |        113 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/my/view/register_page.dart                          | Dart            |        156 |          1 |          5 |        162 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/tree/bindings/tabs_binding.dart                     | Dart            |         23 |          0 |          5 |         28 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/tree/controller/tab_list_controller.dart            | Dart            |         43 |          0 |         12 |         55 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/tree/controller/tabs_controller.dart                | Dart            |         38 |          0 |          8 |         46 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/tree/repository/tab_list_repository.dart            | Dart            |         25 |          0 |          2 |         27 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/tree/repository/tabs_repository.dart                | Dart            |         11 |          0 |          4 |         15 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/tree/view/tab_list_page.dart                        | Dart            |         48 |          0 |          6 |         54 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/tree/view/tabs_page.dart                            | Dart            |        126 |          1 |         18 |        145 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/tree/view/tree_cell.dart                            | Dart            |         76 |          1 |         13 |         90 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/tree/view/tree_page.dart                            | Dart            |         35 |          2 |          5 |         42 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/lib/pages/web/binding/web_binding.dart                        | Dart            |         20 |          0 |          2 |         22 |
